budget;company;country;director;genre;gross;name;rating;released;runtime;score;star;votes;writer;year
400000000;Warner Bros.;Germany;James McTeigue;Action;381050770;Ninja Assassin;R;40142;99;64;Rick Yune;60987;Matthew Sand;2009
0;Tyler Perry Company, The;USA;Tyler Perry;Comedy;904852330;Madea Goes to Jail;PG-13;39864;103;43;Tyler Perry;10052;Tyler Perry;2009
150000000;Sony Pictures Classics;USA;Woody Allen;Comedy;53064470;Whatever Works;PG-13;39997;93;72;Evan Rachel Wood;62933;Woody Allen;2009
350000000;Warner Bros.;USA;Dominic Sena;Action;102756380;Whiteout;R;40067;101;55;Kate Beckinsale;33530;Jon Hoeber;2009
0;Dreamlab;Iran;Asghar Farhadi;Drama;1066620;About Elly;Not specified;39970;119;81;Golshifteh Farahani;31740;Asghar Farhadi;2009
220000000;Paramount Pictures;USA;George Gallo;Comedy;7237140;Middle Men;R;40396;105;66;Luke Wilson;33978;George Gallo;2009
0;Jon Shestack Productions;USA;Mark Waters;Comedy;552500260;Ghosts of Girlfriends Past;PG-13;39934;100;58;Matthew McConaughey;71836;Jon Lucas;2009
185000000;Warner Bros.;USA;Ricky Gervais;Comedy;184390820;The Invention of Lying;PG-13;40088;100;64;Ricky Gervais;99595;Ricky Gervais;2009
80000000;Ternion Pictures;USA;Mike Judge;Comedy;108141850;Extract;R;40060;92;62;Jason Bateman;39493;Mike Judge;2009
900000000;Twentieth Century Fox Animation;USA;Carlos Saldanha;Animation;1965737050;Ice Age: Dawn of the Dinosaurs;PG;39995;94;70;Ray Romano;182575;Peter Ackerman;2009
0;Why Not Productions;France;Jacques Audiard;Crime;20846370;A Prophet;R;40263;155;79;Tahar Rahim;83124;Thomas Bidegain;2009
0;BBC Films;UK;Armando Iannucci;Comedy;23840440;In the Loop;NOT RATED;40060;106;75;Tom Hollander;47137;Jesse Armstrong;2009
750000000;Fox 2000 Pictures;USA;Betty Thomas;Animation;2196146120;Alvin and the Chipmunks: The Squeakquel;PG;40170;88;45;Jason Lee;34731;Jon Vitti;2009
140000000;Rogue;USA;David Twohy;Adventure;154835400;A Perfect Getaway;R;40032;98;65;Milla Jovovich;59667;David Twohy;2009
150000000;Mandate Pictures;USA;Drew Barrymore;Drama;130433630;Whip It;PG-13;40088;111;69;Ellen Page;58138;Shauna Cross;2009
2000000000;Walt Disney Pictures;USA;Robert Zemeckis;Animation;1378558630;A Christmas Carol;PG;40123;96;68;Jim Carrey;80819;Robert Zemeckis;2009
0;X-Filme Creative Pool;Germany;Michael Haneke;Drama;22226470;The White Ribbon;R;40242;144;78;Christian Friedel;57685;Michael Haneke;2009
500000000;Columbia Pictures;USA;Tom Tykwer;Action;254505270;The International;R;39857;118;65;Clive Owen;83114;Eric Warren Singer;2009
0;Touchstone Pictures;USA;P.J. Hogan;Comedy;442773500;Confessions of a Shopaholic;PG;39857;104;59;Isla Fisher;66680;Tracey Jackson;2009
350000000;Walt Disney Pictures;USA;Walt Becker;Comedy;494920600;Old Dogs;PG;40142;100;54;Robin Williams;32674;David Diamond;2009
0;BBC Films;UK;Andrea Arnold;Drama;3730600;Fish Tank;NOT RATED;40571;123;73;Katie Jarvis;51481;Andrea Arnold;2009
0;Rogue Pictures;USA;Dito Montiel;Action;230363200;Fighting;PG-13;39927;105;56;Channing Tatum;29024;Robert Munic;2009
80000000;Stage 6 Films;USA;Troy Duffy;Action;102693070;The Boondock Saints II: All Saints Day;R;40158;118;63;Sean Patrick Flanery;55823;Troy Duffy;2009
170000000;Millennium Films;USA;Antoine Fuqua;Crime;271544260;Brooklyn's Finest;R;40242;132;67;Richard Gere;55183;Michael C. Martin;2009
29000000;Destination Films;USA;Scott Sanders;Action;2284770;Black Dynamite;R;40191;84;74;Arsenio Hall;38535;Michael Jai White;2009
220000000;Warner Bros.;USA;Steven Soderbergh;Comedy;333135820;The Informant!;R;40074;108;65;Matt Damon;55457;Scott Z. Burns;2009
180000000;De Line Pictures;USA;Jody Hill;Comedy;239936050;Observe and Report;R;39913;86;58;Seth Rogen;54428;Jody Hill;2009
130000000;EuropaCorp;France;Glenn Ficarra;Biography;20355660;Una pareja dispareja;R;40550;102;66;Jim Carrey;82466;John Requa;2009
150000000;Fox 2000 Pictures;USA;Phil Traill;Comedy;338600100;All About Steve;PG-13;40060;99;48;Sandra Bullock;34902;Kim Barker;2009
17000000;Magnolia Pictures;USA;Steven Soderbergh;Drama;6954170;The Girlfriend Experience;R;40002;77;55;Sasha Grey;14416;David Levien;2009
180000000;Metro-Goldwyn-Mayer (MGM);USA;Kevin Tancharoen;Comedy;224555100;Fame;PG;40081;107;50;Kelsey Grammer;14706;Allison Burnett;2009
